City Name,Zone Name,Ward Name,Ward No.,Area (in sq km),Total Population (in thousands),Population - Male (in thousands),Population - female (in thousands),population - children aged 0-14 (in thousands),Population - youth aged 15-24 (in thousands),Population - adults aged 25-60 (in thousands),Population - Senior citizens aged 60+ (in thousands)
PUNE,PMC,Dhanori,1,N.A.,44060,23099,20961,N.A.,N.A.,N.A.,N.A.
PUNE,PMC,Vidhyanagar Lohagaon,2,N.A.,25430,13125,12305,N.A.,N.A.,N.A.,N.A.
PUNE,PMC,Tingre Pumping Station ,3,N.A.,22592,11528,11064,N.A.,N.A.,N.A.,N.A.
PUNE,PMC,Kalas Vishrantwadi,4,N.A.,24678,12830,11848,N.A.,N.A.,N.A.,N.A.
PUNE,PMC,Nanasaheb Parulekar Vidhyalaya,5,N.A.,18490,9378,9112,N.A.,N.A.,N.A.,N.A.
PUNE,PMC,Yerwada Prizen Press,6,N.A.,26134,15086,11048,N.A.,N.A.,N.A.,N.A.
PUNE,PMC,Lohagaon Vimantal,7,N.A.,33810,17610,16200,N.A.,N.A.,N.A.,N.A.
PUNE,PMC,Kharadigaon,8,N.A.,37947,20290,17657,N.A.,N.A.,N.A.,N.A.
PUNE,PMC,Kharadi Infotech Park,9,N.A.,24332,13030,11302,N.A.,N.A.,N.A.,N.A.
PUNE,PMC,Sundrabai Marathe Vidhyalaya,10,N.A.,24433,12814,11619,N.A.,N.A.,N.A.,N.A.
PUNE,PMC,Vadgaon Sheri,11,N.A.,32731,17179,15552,N.A.,N.A.,N.A.,N.A.
PUNE,PMC,Ramwadi,12,N.A.,25865,13587,12278,N.A.,N.A.,N.A.,N.A.
PUNE,PMC,Agakhan Pallace,13,N.A.,25272,13101,12171,N.A.,N.A.,N.A.,N.A.
PUNE,PMC,Don Bosco  Highschool,14,N.A.,18483,9390,9093,N.A.,N.A.,N.A.,N.A.
PUNE,PMC,NagpurChawl,15,N.A.,16691,8449,8242,N.A.,N.A.,N.A.,N.A.
PUNE,PMC,"PhuleNagar ,Yerwada",16,N.A.,15724,8044,7680,N.A.,N.A.,N.A.,N.A.
PUNE,PMC,Netaji Subhashchandra Bose Vidhyalaya,17,N.A.,15990,7986,8004,N.A.,N.A.,N.A.,N.A.
PUNE,PMC,Yerwadagaon,18,N.A.,14960,7506,7454,N.A.,N.A.,N.A.,N.A.
PUNE,PMC,Parnkuti,19,N.A.,17702,8969,8733,N.A.,N.A.,N.A.,N.A.
PUNE,PMC,YerwadaHotmix Plant,20,N.A.,18332,9333,8999,N.A.,N.A.,N.A.,N.A.
PUNE,PMC,Deccon Collage,21,N.A.,17865,9299,8566,N.A.,N.A.,N.A.,N.A.
PUNE,PMC,Kamal Nayan Bajaj Udhyan,22,N.A.,18071,9129,8942,N.A.,N.A.,N.A.,N.A.
PUNE,PMC,Setki Mahavidhyalaya,23,N.A.,15744,7666,8078,N.A.,N.A.,N.A.,N.A.
PUNE,PMC,Sanjay Gandhi Rugnalya,24,N.A.,17876,8926,8950,N.A.,N.A.,N.A.,N.A.
PUNE,PMC,Bopodi,25,N.A.,15834,7905,7929,N.A.,N.A.,N.A.,N.A.
PUNE,PMC,Pune Vidhyapeeth,26,N.A.,16240,8141,8099,N.A.,N.A.,N.A.,N.A.
PUNE,PMC,AundhGaon,27,N.A.,17766,8934,8832,N.A.,N.A.,N.A.,N.A.
PUNE,PMC,Baner-Balewadi,28,N.A.,31972,16781,15191,N.A.,N.A.,N.A.,N.A.
PUNE,PMC,Sutarwadi,29,N.A.,23994,12422,11572,N.A.,N.A.,N.A.,N.A.
PUNE,PMC,Pashan,30,N.A.,24574,12618,11956,N.A.,N.A.,N.A.,N.A.
PUNE,PMC,Aundh I.T.I,31,N.A.,15205,7573,7632,N.A.,N.A.,N.A.,N.A.
PUNE,PMC,RajBhavan,32,N.A.,17663,8972,8691,N.A.,N.A.,N.A.,N.A.
PUNE,PMC,Chaturshingi Mandir,33,N.A.,20138,10242,9896,N.A.,N.A.,N.A.,N.A.
PUNE,PMC,Model Colony,34,N.A.,14892,7386,7506,N.A.,N.A.,N.A.,N.A.
PUNE,PMC,Morden Collage ,35,N.A.,14669,7534,7135,N.A.,N.A.,N.A.,N.A.
PUNE,PMC,P.M.C Bhavan,36,N.A.,12603,6356,6247,N.A.,N.A.,N.A.,N.A.
PUNE,PMC,Dr.Nayadu Hospital,37,N.A.,15380,7994,7386,N.A.,N.A.,N.A.,N.A.
PUNE,PMC,Bundgarden,38,N.A.,14096,7068,7028,N.A.,N.A.,N.A.,N.A.
PUNE,PMC,Wadiya Collage,39,N.A.,14447,7231,7216,N.A.,N.A.,N.A.,N.A.
PUNE,PMC,Koregaon Park,40,N.A.,14685,7446,7239,N.A.,N.A.,N.A.,N.A.
PUNE,PMC,Mundhvagaon,41,N.A.,19153,9924,9229,N.A.,N.A.,N.A.,N.A.
PUNE,PMC,Magarpatta Hadapsar,42,N.A.,40932,21668,19264,N.A.,N.A.,N.A.,N.A.
PUNE,PMC,Hadapsar Indestrial Estate,43,N.A.,29733,15435,14298,N.A.,N.A.,N.A.,N.A.
PUNE,PMC,Sent Patric Town,44,N.A.,27453,14289,13164,N.A.,N.A.,N.A.,N.A.
PUNE,PMC,Vikas Nagar Ghorpadi,45,N.A.,30023,15526,14497,N.A.,N.A.,N.A.,N.A.
PUNE,PMC,Dr.Babasaheb Ambedkar Udhyan,46,N.A.,14736,7418,7318,N.A.,N.A.,N.A.,N.A.
PUNE,PMC,Sasoon Hospital,47,N.A.,14192,7077,7115,N.A.,N.A.,N.A.,N.A.
PUNE,PMC,Kamla Nehru Hospital,48,N.A.,16440,8222,8218,N.A.,N.A.,N.A.,N.A.
PUNE,PMC,Juna Bazar,49,N.A.,18701,9786,8915,N.A.,N.A.,N.A.,N.A.
PUNE,PMC,Kasba Ganpati,50,N.A.,15943,7943,8000,N.A.,N.A.,N.A.,N.A.
PUNE,PMC,Shanivarwada,51,N.A.,13824,6772,7052,N.A.,N.A.,N.A.,N.A.
PUNE,PMC,New English School(Ramanbaug),52,N.A.,12273,6057,6216,N.A.,N.A.,N.A.,N.A.
PUNE,PMC,Fergussion Collage,53,N.A.,16120,8238,7882,N.A.,N.A.,N.A.,N.A.
PUNE,PMC,Dr.Homi Baba Hospital,54,N.A.,16690,8393,8297,N.A.,N.A.,N.A.,N.A.
PUNE,PMC,Gokhlenagar,55,N.A.,14614,7276,7338,N.A.,N.A.,N.A.,N.A.
PUNE,PMC,Vidhi Mahavidhyalaya,56,N.A.,15228,7453,7775,N.A.,N.A.,N.A.,N.A.
PUNE,PMC,Shankarrao More Vidhyalaya,57,N.A.,18064,9316,8748,N.A.,N.A.,N.A.,N.A.
