City Name,Zone Name,Ward name,Ward No.,Population in the age group of 0-6 years (in thousands),Whether city level master plan standards for housing include facilities for children at the neighbourhood level (Y/N),"No. of parks with free basic facilties like public drinking water, toilets and other facilities for families in neighbourhood",No. of properties having access to toilets within walking distance,Number of anganwadi centres in the city
PUNE,PMC,Dhanori,1,5686,N.A.,N.A.,N.A.,N.A.
PUNE,PMC,Vidhyanagar Lohagaon,2,3054,N.A.,N.A.,N.A.,N.A.
PUNE,PMC,Tingre Pumping Station ,3,2487,N.A.,N.A.,N.A.,N.A.
PUNE,PMC,Kalas Vishrantwadi,4,2586,N.A.,N.A.,N.A.,N.A.
PUNE,PMC,Nanasaheb Parulekar Vidhyalaya,5,1972,N.A.,N.A.,N.A.,N.A.
PUNE,PMC,Yerwada Prizen Press,6,2315,N.A.,N.A.,N.A.,N.A.
PUNE,PMC,Lohagaon Vimantal,7,3694,N.A.,N.A.,N.A.,N.A.
PUNE,PMC,Kharadigaon,8,4993,N.A.,N.A.,N.A.,N.A.
PUNE,PMC,Kharadi Infotech Park,9,3299,N.A.,N.A.,N.A.,N.A.
PUNE,PMC,Sundrabai Marathe Vidhyalaya,10,2695,N.A.,N.A.,N.A.,N.A.
PUNE,PMC,Vadgaon Sheri,11,4217,N.A.,N.A.,N.A.,N.A.
PUNE,PMC,Ramwadi,12,2666,N.A.,N.A.,N.A.,N.A.
PUNE,PMC,Agakhan Pallace,13,2491,N.A.,N.A.,N.A.,N.A.
PUNE,PMC,Don Bosco  Highschool,14,1803,N.A.,N.A.,N.A.,N.A.
PUNE,PMC,NagpurChawl,15,1639,N.A.,N.A.,N.A.,N.A.
PUNE,PMC,"PhuleNagar ,Yerwada",16,1586,N.A.,N.A.,N.A.,N.A.
PUNE,PMC,Netaji Subhashchandra Bose Vidhyalaya,17,1709,N.A.,N.A.,N.A.,N.A.
PUNE,PMC,Yerwadagaon,18,1709,N.A.,N.A.,N.A.,N.A.
PUNE,PMC,Parnkuti,19,2251,N.A.,N.A.,N.A.,N.A.
PUNE,PMC,YerwadaHotmix Plant,20,2411,N.A.,N.A.,N.A.,N.A.
PUNE,PMC,Deccon Collage,21,2074,N.A.,N.A.,N.A.,N.A.
PUNE,PMC,Kamal Nayan Bajaj Udhyan,22,1999,N.A.,N.A.,N.A.,N.A.
PUNE,PMC,Setki Mahavidhyalaya,23,1296,N.A.,N.A.,N.A.,N.A.
PUNE,PMC,Sanjay Gandhi Rugnalya,24,1720,N.A.,N.A.,N.A.,N.A.
PUNE,PMC,Bopodi,25,1637,N.A.,N.A.,N.A.,N.A.
PUNE,PMC,Pune Vidhyapeeth,26,1539,N.A.,N.A.,N.A.,N.A.
PUNE,PMC,AundhGaon,27,1745,N.A.,N.A.,N.A.,N.A.
PUNE,PMC,Baner-Balewadi,28,3995,N.A.,N.A.,N.A.,N.A.
PUNE,PMC,Sutarwadi,29,3002,N.A.,N.A.,N.A.,N.A.
PUNE,PMC,Pashan,30,3195,N.A.,N.A.,N.A.,N.A.
PUNE,PMC,Aundh I.T.I,31,1121,N.A.,N.A.,N.A.,N.A.
PUNE,PMC,RajBhavan,32,1567,N.A.,N.A.,N.A.,N.A.
PUNE,PMC,Chaturshingi Mandir,33,2072,N.A.,N.A.,N.A.,N.A.
PUNE,PMC,Model Colony,34,931,N.A.,N.A.,N.A.,N.A.
