Sl. No.,State/UT,2020,2021,2022,2023,2024
1,Andaman and Nicobar Islands,314,694,772,860,897
2,Andhra Pradesh,14407,18707,28393,39378,43343
3,Arunachal Pradesh,318,626,1116,3419,15860
4,Assam,6826,8578,10199,12864,16428
5,Bihar,32797,36287,57300,66898,74244
6,Chandigarh,3177,3131,3889,3581,3749
7,Chhattisgarh,6511,7730,10414,12757,14607
8,Dadra and Nagar Haveli,211,262,234,364,451
9,Daman and Diu,146,147,181,273,264
10,Delhi,62376,67262,85300,90648,108526
11,Goa,1402,1702,2100,2980,3415
12,Gujarat,38804,40595,46915,60189,67306
13,Haryana,34527,35789,46797,51099,58171
14,Himachal Pradesh,4208,4298,4948,6272,6986
15,Jammu and Kashmir,4683,5467,6874,7967,9178
16,Jharkhand,9816,11788,17370,19969,21838
17,Karnataka,53130,41239,54794,72459,89028
18,Kerala,11168,19804,19729,30690,40298
19,Ladakh,91,156,136,137,218
20,Lakshadweep,8,91,11,191,198
21,Madhya Pradesh,27355,34706,50808,61528,67094
22,Maharashtra,85532,87752,103989,125190,147432
23,Manipur,274,379,362,310,471
24,Meghalaya,358,462,523,663,751
25,Mizoram,117,111,84,133,156
26,Nagaland,221,314,211,325,362
27,Odisha,10509,13108,19318,25731,28501
28,Puducherry,330,545,558,921,1086
29,Punjab,15697,16519,21364,23314,26486
30,Rajasthan,42192,48081,72109,85086,78675
31,Sikkim,225,325,337,490,602
32,Tamil Nadu,20133,25692,29466,44129,53343
33,Telangana,26353,28145,40571,50214,58810
34,Tripura,1048,1255,1607,2134,2581
35,Uttar Pradesh,86261,97171,139774,173845,192311
36,Uttrakhand,7554,8376,11541,13456,15281
37,West Bengal,45113,47982,64105,77107,94465
Total,Total,654192,715276,954199,1167571,1343412
